 Яка ваша рідна мова? ;1 (1) Українська  ;1 (2) Російська  ;1 (3) Англійська  ;1 (4) Інша   
Вкажіть, будь ласка, свій вік
(1) 14-17 
(2) 18-25 
(3) 25-35 
(4) 35-45 
(5) 45-65 
(6) 65+ ";3 SIMPLE t Як Ви себе ідентифікуєте?;"3 n 
(1) Чоловік 
fIfqNL9u6e6u;2025-04-20 17:50:34.43607+02;Kolektor;;;;;00:04:28.807584;0;;1;;;;;3;;2;;;;;;;1;;;;;1;;English ;;1;;0;;5;;1;;;;1;;1;;;;;;2;;2;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;1;;2;;0;;0;;0;;Ні
sK9Fc2nZqiQ7;2025-04-20 17:57:30.264706+02;Kolektor;;;;;00:03:03.004162;0;;1;1;;;;2;;1;;;;1;;;;;;;;1;;Англійська, Італійська;;1;;0;;5;;1;;;;1;;;;;1;;;3;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;0;;1;;1;;1;;1;;1;;Фільми, пісні
MjZfUFA4sGsD;2025-04-20 18:19:56.738638+02;Kolektor;;;;;00:03:32.743631;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Англійська;;0;;0;;5;;;;1;;1;;;;;1;;;3;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;0;;1;;1;;0;;1;;0;; 
nwu9SM7sgidE;2025-04-20 18:21:19.031139+02;Kolektor;;;;;00:03:38.217077;0;;1;1;;;;2;;2;;;1;;;;;1;;;;0;;;;1;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;0;;1;;1;;1;;1;;0;;0;;.
oFEYS3aKDtU4;2025-04-20 18:21:47.741847+02;Kolektor;;;;;00:03:13.729654;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Японська, англійська;;0;;0;;5;;;;1;;1;;;;1;1;;;2;;2;;1;;;1;;1;;1;;0;;1;;0;;0;;1;;0;;1;;1;;0;;1;;0;;-
6slIJVfjxVfh;2025-04-20 18:28:18.121296+02;Kolektor;;;;;00:02:57.187913;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;англійська, польска, іспанська, російська ;;1;;1;;2;;1;;;;1;;;;1;;;;1;;1;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;1;;1;;0;;1;;1;;shadowing, вивчення окремих звуків у мові
mZAXihDxvbfO;2025-04-20 18:52:44.711254+02;Kolektor;;;;;00:02:13.610378;0;;1;1;;;;1;;2;;1;;;;;;;;;;0;;;;0;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;0;;-
VhyfG9nhMz9z;2025-04-20 19:00:36.638073+02;Kolektor;;;;;00:02:20.814662;0;;1;1;;;;2;;2;;;;1;;;;;;;;1;;Англійська, Польська ;;1;;0;;5;;1;;;;1;;1;;;;;;2;;2;;1;;;1;;1;;1;;0;;0;;1;;0;;0;;0;;1;;2;;0;;0;;0;;Shadowing
s9KRimBoXqbb;2025-04-20 19:44:44.104053+02;Kolektor;;;;;00:02:42.148242;0;;1;1;;;;2;;2;;;;1;;;;;;;;1;;Англійська, іспанська, німецька ;;0;;0;;5;;;;1;;1;;;;1;1;;;2;;2;;1;;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;0;;1;;0;;Не маю 
EgXb1c4m0i9H;2025-04-20 19:55:54.265792+02;Kolektor;;;;;00:02:44.219358;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;англійська, російська та польська;;1;;0;;5;;1;;;;1;;;;1;;;;2;;2;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;0;;розмовляти 
ZRl47ts32P2M;2025-04-20 20:05:50.800684+02;Kolektor;;;;;00:05:22.329648;0;;1;1;;;;2;;2;;;;1;;;;;;;;0;;;;1;;0;;5;;1;;;;1;;;;1;;;;2;;2;;1;;1;;;1;;1;;0;;1;;1;;0;;1;;0;;1;;1;;1;;1;;0;;не знаю жодного) хіба що оточити себе середовищем 
4v1V1LCUIUxe;2025-04-20 20:10:11.82808+02;Kolektor;;;;;00:03:44.715656;0;;1;1;;;;1;;1;;;;;;;;;1;;;1;;Англійською;;0;;0;;5;;;1;;;0;;1;;1;;;;3;;3;;0;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;0;;1;;Дивитись фільми слухати носіїв та переписуватись 
FOM7crtbcXa4;2025-04-20 20:14:22.372481+02;Kolektor;;;;;00:02:15.579294;0;;1;1;;;;1;;1;;;;;;;;;1;;;1;;Англійською ;;0;;0;;5;;1;;;;0;;1;;;;;;1;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;0;;1;;Дивлюсь фільми, спілкуюсь з носіями 
JbrXLp5yYmjE;2025-04-20 21:32:30.453698+02;Kolektor;;;;;00:07:09.280428;0;;1;;;;;2;;4;;;;;;;;1;;;;1;;Польська;;1;;0;;5;;;1;;;1;;;;1;;;;3;;2;;0;;1;1;;1;;1;;1;;1;;1;;0;;0;;0;;1;;1;;1;;0;;1;;Фільми на мові оригіналу 
wtYtRBQbdcKs;2025-04-20 22:13:52.103494+02;Kolektor;;;;;00:05:05.361071;0;;1;;;;;2;;2;;;;;1;;;;;;;1;;Англійська, французька ;;0;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;0;;0;;0;;Спілкування з носіями (мімікрія)
Ar1Ozqbj5pf5;2025-04-20 22:30:47.468554+02;Kolektor;;;;;00:03:11.107195;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Французька, Англійська;;1;;1;;3;;1;;;;0;;;;1;;;;2;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;0;;1;;1;;1;;1;;0;;-
OjdLQldVN0RQ;2025-04-20 22:36:58.906267+02;Kolektor;;;;;00:03:22.358528;0;;;1;;;;2;;2;;;;1;;;;;;;;1;;English;;1;;1;;3;;1;;;;1;;;;;1;;;2;;1;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;1;;1;;1;;0;;1;;0;;-
M1aOkl6BU5ls;2025-04-20 22:37:24.536232+02;Kolektor;;;;;00:04:13.796956;0;;1;;;;;1;;2;;;;1;;;;;;;;1;;Польська, українська, російська, анг;;1;;0;;5;;1;;;;1;;;;;1;;;2;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;0;;0;;1;;-
3dkZjtLf5ytv;2025-04-20 23:18:01.038795+02;Kolektor;;;;;00:04:43.377959;0;;1;;;;;2;;2;;;;;1;;;;;;;1;;Англійською ;;0;;0;;5;;;1;;;0;;;;1;;;;2;;2;;0;;1;;;0;;1;;0;;1;;1;;0;;0;;0;;1;;1;;1;;1;;0;;Слухати музику та повторювати вимову, те ж саме стосується і фільмів 
59JXV751BAat;2025-05-06 04:13:18.497215+02;Kolektor;;;;;00:07:07.812789;0;;1;1;;;;5;;1;;;;;;;1;;;;;0;;Укр англ;;0;;1;;1;;1;;;;1;;;;1;;;;3;;3;;1;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;2;;0;;0;;0;;Не використовую
do8lSfUKm62D;2025-05-06 10:51:05.266559+02;Kolektor;;;;;00:32:26.552506;0;;1;1;;;;5;;2;;;;;;1;;;;;;1;;англійська;;0;;0;;5;;1;;;;1;;1;;;;;;2;;2;;0;;;1;;1;;1;;0;;1;;0;;0;;0;;0;;2;;2;;0;;0;;0;;   
4eDhJ8ciYOY0;2025-05-06 10:51:13.608715+02;Kolektor;;;;;00:05:21.985068;0;;1;;;;;5;;2;;;;;;1;;;;;;1;;Французькою;;1;;0;;5;;1;;;;1;;1;;;;;;3;;2;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;0;;2;;1;;0;;1;;1;;Слухати пісні або новини на мові, яку вивчаю. Дивитись фільми
69tfFf8jzTCg;2025-05-06 11:20:25.979832+02;Kolektor;;;;;00:04:27.624073;0;;;1;;;;5;;2;;;;;;1;;;;;;1;;Англійська;;0;;0;;5;;1;;;;1;;1;;;;;;3;;2;;1;;;1;;1;;1;;1;;1;;1;;0;;0;;0;;2;;1;;0;;0;;1;;Фонетичні вправи, повторення за спікером
lPyHaMmTRCgS;2025-05-06 11:26:11.697642+02;Kolektor;;;;;00:06:43.364342;0;;1;;;;;5;;2;;;;;;1;;;;;;1;;російська, англійська ;;0;;0;;5;;1;;;;1;;;;1;;;;2;;2;;0;;;1;;1;;1;;0;;0;;1;;0;;0;;0;;2;;2;;0;;1;;0;;немає
pE6ah9aD9jAA;2025-05-06 15:45:43.543721+02;Kolektor;;;;;00:05:32.703036;0;;;1;;;;5;;2;;;;;;1;;;;;;1;;Українська, Англійська А2;;0;;0;;5;;1;;;;1;;1;;;;;;3;;3;;0;;1;;;1;;1;;0;;1;;0;;0;;1;;1;;2;;1;;1;;0;;0;;0
06hZQDXYAefe;2025-05-06 22:59:32.882287+02;Kolektor;;;;;00:03:46.710366;0;;1;1;;;;4;;1;;;;;1;;;;;;;1;;Англійська ;;0;;0;;5;;1;;;;1;;;;1;1;;;2;;1;;1;;;1;;1;;1;;1;;0;;1;;0;;0;;0;;2;;2;;0;;1;;1;;Фільми в оригіналі 
